Environment,Genotype,Group,Geno.GY_control,Geno.GY_test,Trial.GY_control,Trial.GY_test,Cov_DSI,SD_blue,SD_weight,PH_blue,PH_weight,NDVI_blue,NDVI_weight,GR_blue,GR_weight,GY_blue,GY_weight,TKW_blue,TKW_weight,TW_blue,TW_weight
2022 RL,KSTdGD80.69,WIL,NA,NA,NA,NA,NA,1.0118,4.7351,-0.274,3.6431,0.2638,24.8816,-1.1924,31.4054,0.8274,5.1819,-0.9123,9.0389,-0.1459,9.259
2022 RL,KSTdGD80.7,WIL,NA,NA,NA,NA,NA,-0.9187,4.3239,0.5719,3.4214,0.3753,14.8977,0.0373,24.2823,0.6059,4.3314,1.5695,8.6424,1.5127,9.2282
2022 RL,KSTdGD80.70,WIL,NA,NA,NA,NA,NA,0.9536,4.7393,-0.2318,3.5166,0.5152,21.4036,0.6036,26.0102,1.5301,5.0542,-1.8538,8.918,-0.2335,9.1782
2022 RL,KSTdGD80.71,WIL,NA,NA,NA,NA,NA,-1.2089,4.7471,0.702,3.6486,0.6375,24.878,-0.0808,31.4143,-0.8711,5.1727,1.8473,9.1079,0.2497,9.3225
2022 RL,KSTdGD80.72,WIL,NA,NA,NA,NA,NA,-1.3761,4.742,-0.9414,3.6435,0.0446,24.8822,-0.1639,31.4109,-0.4076,5.1847,-0.6331,9.0667,-0.5369,9.2962
2022 RL,KSTdGD80.74,WIL,NA,NA,NA,NA,NA,1.3798,4.7381,0.8833,3.6456,0.5284,24.881,-0.631,31.4123,-0.2671,5.1678,-1.0539,9.0841,1.2326,9.3015
2022 RL,KSTdGD80.76,WIL,NA,NA,NA,NA,NA,0.051,4.7522,0.0074,3.6459,0.8055,24.8827,0.1672,31.4131,0.3672,5.1837,0.3892,9.0986,-0.5954,9.319
2022 RL,KSTdGD80.78,WIL,NA,NA,NA,NA,NA,-1.1279,4.3431,-0.8535,3.4177,0.1653,14.9046,0.4132,24.2826,0.6025,4.3472,-1.0437,8.6932,0.717,9.2917
2022 RL,KSTdGD80.79,WIL,NA,NA,NA,NA,NA,1.3044,4.3449,1.4297,3.4307,-0.6105,15.5731,-0.4148,25.0561,0.4546,4.3516,-1.0691,8.7216,-0.0387,9.2879
2022 RL,KSTdGD80.8,WIL,NA,NA,NA,NA,NA,0.6918,4.7489,-0.121,3.6495,-1.4936,24.8821,-0.4226,31.4185,-2.0483,5.1722,0.2263,9.1187,-0.7878,9.3337
2022 RL,KSTdGD80.80,WIL,NA,NA,NA,NA,NA,0.1661,4.7426,0.5575,3.6445,1.0014,24.882,0.2103,31.4109,0.8083,5.1838,-0.0714,9.0688,2.4609,9.2979
2022 RL,KSTdGD80.81,WIL,NA,NA,NA,NA,NA,1.1699,4.3576,2.0816,3.4338,0.7553,15.5819,-0.4593,25.0584,-1.4,4.3575,-1.1889,8.7417,-1.2405,9.2804
2022 RL,KSTdGD80.82,WIL,NA,NA,NA,NA,NA,1.3545,4.735,-0.3801,3.6458,-0.6537,24.8778,0.0671,31.412,-0.8057,5.1658,0.2019,9.0785,-1.1798,9.3007
2022 RL,KSTdGD80.83,WIL,NA,NA,NA,NA,NA,0.399,4.756,-0.8484,3.6508,0.6568,24.8821,-0.5258,31.4196,-0.2653,5.1891,-1.1492,9.1208,-0.2524,9.3421
2022 RL,KSTdGD80.84,WIL,NA,NA,NA,NA,NA,-0.8579,4.7628,0.1264,3.5276,0.4759,22.088,0.0833,26.7681,-1.0055,5.0828,1.4517,8.9581,0.9028,9.2032
2022 RL,KSTdGD80.86,WIL,NA,NA,NA,NA,NA,0.4453,4.7401,-0.4203,3.6493,0.0487,24.8813,-0.6518,31.4178,1.2084,5.1699,-1.3633,9.0952,1.2378,9.328
2022 RL,KSTdGD80.87,WIL,NA,NA,NA,NA,NA,-0.5372,4.7414,-0.6473,3.6359,-0.3375,24.2235,-0.4472,30.667,-1.1682,5.1708,0.7014,9.0483,1.3191,9.2724
2022 RL,KSTdGD80.89,WIL,NA,NA,NA,NA,NA,0.5875,4.3809,1.8709,3.4531,-0.0092,19.1146,-0.4289,26.4662,1.7555,4.5133,-1.1442,8.7474,1.0807,9.2755
2022 RL,KSTdGD80.9,WIL,NA,NA,NA,NA,NA,0.433,4.7472,0.9797,3.6476,0.4293,24.878,-0.1569,31.4139,-0.1125,5.1725,0.9572,9.1074,-0.7573,9.3231
2022 RL,KSTdGD80.90,WIL,NA,NA,NA,NA,NA,-1.3651,4.7445,-0.8248,3.6473,0.4457,24.8809,-0.2677,31.4138,-0.2747,5.1845,-0.5785,9.0876,-0.6605,9.3185
2022 RL,KSTdGD80.93,WIL,NA,NA,NA,NA,NA,0.0911,4.7387,-1.0891,3.6406,-0.0726,24.0952,0.3119,30.4836,0.6337,5.168,-0.4312,9.0514,0.5621,9.2832
2022 RL,KSTdGD80.94,WIL,NA,NA,NA,NA,NA,-1.5848,4.3857,-0.3883,3.4538,0.577,19.1172,-0.5346,26.4705,1.055,4.5146,-0.0397,8.7733,-0.6354,9.319
2022 RL,KSTdGD80.95,WIL,NA,NA,NA,NA,NA,1.3995,4.7338,0.1144,3.6452,-0.4705,24.8795,-0.3397,31.4064,-1.6377,5.1685,-1.1879,8.7347,-2.2784,9.0141
2022 RL,KSTdGD80.96,WIL,NA,NA,NA,NA,NA,0.905,4.7322,-0.75,3.6421,0.9192,24.876,-0.2058,31.4048,0.5236,5.1601,-1.0348,9.0571,0.9571,9.2855
2022 RL,KSTdGD80.98,WIL,NA,NA,NA,NA,NA,-0.0937,4.7382,-0.6245,3.645,0.0165,24.8815,0.6363,31.4117,0.6608,5.1711,-0.4938,9.081,0.7547,9.2955
2022 RL,KSTdGD80.99,WIL,NA,NA,NA,NA,NA,0.9097,4.7389,0.9246,3.6458,-0.0804,24.877,-0.669,31.4102,-0.0703,5.1703,0.8235,9.088,-0.618,9.3206
2022 THD,Billings,Check,0.5589,0.571,0.8366,-0.0454,-0.0137,0.228,28.8378,-0.672,31.7496,NA,NA,NA,NA,0.571,66.7751,1.843,164.2663,0.644,134.1035
2022 THD,Joe,Check,1.005,0.844,0.8366,-0.0454,0.1825,0.91,29.2168,0.517,31.8873,NA,NA,NA,NA,0.844,68.3037,0.944,166.8998,0.585,137.4104
2022 THD,KS061278M.4,Check,0.565,0.396,0.8366,-0.0454,0.1916,0.77,27.9751,0.497,30.2281,NA,NA,NA,NA,0.396,65.7625,-0.467,160.3665,0.605,130.6409
2022 THD,Showdown,Check,1.2173,0.853,0.8366,-0.0454,0.413,0.271,28.5397,0.53,31.5123,NA,NA,NA,NA,0.853,66.1815,0.007,162.1225,-0.501,131.034
2022 THD,KSTdGD80.1,WIL,-0.784,-1.06,0.8366,-0.0454,0.3129,-2.021,2.9583,-0.373,3.3716,NA,NA,NA,NA,-1.06,6.9235,1.529,16.6879,-0.621,13.6496
2022 THD,KSTdGD80.10,WIL,1.1237,0.79,0.8366,-0.0454,0.3784,0.066,2.6763,-0.421,3.1813,NA,NA,NA,NA,0.79,6.2426,-0.477,14.6333,0.32,11.6358
2022 THD,KSTdGD80.100,WIL,-0.0049,0.176,0.8366,-0.0454,-0.2051,-0.418,2.7236,0.704,3.0798,NA,NA,NA,NA,0.176,6.1174,0.092,14.8401,-0.651,11.6224
2022 THD,KSTdGD80.101,WIL,-0.1496,-0.493,0.8366,-0.0454,0.3894,-1.458,3.0172,-0.381,3.4611,NA,NA,NA,NA,-0.493,6.9,0.811,16.4598,-0.775,13.6538
2022 THD,KSTdGD80.102,WIL,1.236,0.14,0.8366,-0.0454,1.2427,0.355,2.9396,-0.636,3.3036,NA,NA,NA,NA,0.14,6.7318,-0.591,16.2753,0.572,13.3517
2022 THD,KSTdGD80.103,WIL,0.5473,0.217,0.8366,-0.0454,0.3745,0.319,2.9848,0.968,3.443,NA,NA,NA,NA,0.217,6.8986,0.564,16.4626,0.657,13.6949
2022 THD,KSTdGD80.104,WIL,0.0054,0.674,0.8366,-0.0454,-0.7581,0.618,2.9926,-1.496,3.4375,NA,NA,NA,NA,0.674,6.9768,-0.962,16.7222,-0.221,13.9334
2022 THD,KSTdGD80.106,WIL,1.0213,0.356,0.8366,-0.0454,0.7543,-0.318,2.9723,0.278,3.3777,NA,NA,NA,NA,0.356,6.8904,-1.329,16.5557,-0.113,13.6929
2022 THD,KSTdGD80.107,WIL,-0.6093,-2.445,0.8366,-0.0454,2.0813,-2.055,2.9549,-0.669,3.4037,NA,NA,NA,NA,-2.445,6.8654,2.03,16.3969,-3.151,13.5819
2022 THD,KSTdGD80.109,WIL,-0.7854,-3.182,0.8366,-0.0454,2.7173,0.471,2.9143,0.804,3.2435,NA,NA,NA,NA,-3.182,6.7044,-0.702,16.0362,-0.88,13.0342
2022 THD,KSTdGD80.11,WIL,1.0994,0.315,0.8366,-0.0454,0.8894,-0.683,2.9391,0.713,3.418,NA,NA,NA,NA,0.315,6.7847,0.792,16.2944,0.641,13.4805
2022 THD,KSTdGD80.110,WIL,-0.043,-0.176,0.8366,-0.0454,0.1508,-0.937,2.6066,0.24,3.2037,NA,NA,NA,NA,-0.176,6.1363,-0.621,14.3471,-0.275,11.492
