Taxa	SD_unadj	SD_adj	SD_rn	PH_unadj	PH_adj	PH_rn	NDVI_unadj	NDVI_adj	NDVI_rn	GR_unadj	GR_adj	GR_rn	GY_unadj	GY_adj	GY_rn	TKW_unadj	TKW_adj	TKW_rn	TW_unadj	TW_adj	TW_rn
KSTdGD80.278	0.81755982	0.497297678	0.464074063	-0.179619926	-0.476197863	-0.228422655	0.169088615	0.132771025	0.346409761	-1.282335736	-1.080193743	-1.767165411	-2.827435327	-3.106164441	-2.723813092	0.610927615	0.084180988	-0.338065242	0.726276467	-0.322656108	0.534016932
KSTdGD80.279	1.209897114	0.897737053	1.066915441	0.739280593	0.444615366	0.453621158	0.418143506	0.387239437	0.529028329	-1.003549178	-0.81560639	-1.313642118	-0.927089025	-0.912023597	-1.489349784	1.497773632	0.871532109	0.610391748	0.023090957	-1.034935881	-0.016781635
KSTdGD80.28	-0.177300944	-0.463995858	-0.253815856	0.707455251	0.424922157	0.720113295	-0.225463367	-0.233507414	-0.100492252	-0.551855452	-0.446019977	-0.700053837	-0.746889158	-1.070574868	-1.143044627	0.335830289	-0.111067218	-0.413714655	0.440912706	-0.451504483	0.170584835
KSTdGD80.280	-0.00556515	-0.307214308	-0.136725261	-0.494432232	-0.774987514	-0.566708531	0.259169208	0.20210996	0.422314446	0.009531219	0.195741468	-0.32257077	0.476977142	-0.144660358	-0.488089507	0.215253754	-0.397871298	-0.888786271	1.156045684	-0.12488745	0.678496555
KSTdGD80.281	-0.330985895	-0.632257154	-0.457785279	-0.333059299	-0.605463567	-0.386102435	0.203886264	0.16625269	0.373388879	0.382054735	0.570926792	0.087404231	0.084676148	-0.753849693	-0.857507293	0.755580464	0.148162018	-0.326732593	0.331776952	-0.990101502	0.129392622
KSTdGD80.282	-0.003216664	-0.312555141	-0.186418832	-0.252281884	-0.534648497	-0.402671079	0.291052663	0.274656581	0.432281741	0.112263877	0.306272772	-0.186915491	0.096025463	-0.311379802	-0.50310987	0.422463662	-0.174589618	-0.573336382	0.397675027	-0.769884374	0.11924612
KSTdGD80.284	0.276459433	0.001284993	0.195671127	-0.169284515	-0.433349813	-0.426509231	-0.055493941	-0.109800494	0.09981665	0.272295876	0.448214541	0.098369245	0.597259092	-0.335367186	-0.476897917	0.511834163	-0.16949531	-0.95375648	1.490930266	0.116490187	0.926186164
KSTdGD80.287	0.186451177	-0.146855612	-0.012449263	-0.575601084	-0.828246605	-0.578303551	-0.207110122	-0.238861881	-0.022838677	-0.824098698	-0.623736109	-0.999207708	-2.171116084	-2.73034706	-2.877605048	1.81561789	1.286822504	0.923594689	-0.92680246	-1.991490871	-1.113063621
KSTdGD80.291	-0.517638292	-0.835235149	-0.694299133	0.422238955	0.129536268	0.395859071	0.044898216	0.02174632	0.146206444	-0.517502801	-0.346680057	-0.750453531	-0.70545069	-0.962222129	-1.129645361	2.16844545	1.570036596	0.987093242	-0.93824311	-2.048460668	-1.305094138
KSTdGD80.294	0.11588367	-0.185587964	-0.082594741	-1.268032333	-1.539197188	-1.536022289	-0.222525465	-0.260017669	-0.098635759	0.444187257	0.651744846	-0.238699931	-0.223720135	-0.347342147	-1.032677915	1.160484563	0.570885593	0.491850251	1.36119003	0.290439674	1.156866862
